VIN,Marca,Modelo,Tipo_moto,A�o_fabricacion,Kilometros (km),Precio_por_dia (�),Estado,Image_URL
VIN000272235,Gas Gas,ES 700,Motocross,2024,0,100,Disponible,https://masgasgas.es/wp-content/uploads/2023/01/PHO_BIKE_90_RE_ES-700-MY22-90-right_SALL_AEPI_V1-1.png
VIN000283406,Kawasaki,KLX110R,Motocross,2022,10000,89.1,Disponible,https://storage.kawasaki.eu/public/kawasaki.eu/en-EU/model/22MY_KLX110R_GN1_STU%20(2).001.png
VIN000296617,Honda,CRF450R,Motocross,2023,5000,94.525,Disponible,https://www.honda.es/content/dam/central/motorcycles/colour-picker/off-road/crf450r/crf450r_2023/r-292r_extreme_red/crf450r_2023_r-292r_extreme_red.png/_jcr_content/renditions/c2_r.png
VIN000302043,Yamaha,YZ250F,Motocross,2022,10000,89.1,Disponible,https://california-motorcycles.com/cdn/shop/products/049e7580c8e67c8e51f795245a26f73c.png?v=1649243056
VIN000315725,Suzuki,RM-Z250,Motocross,2024,0,100,Disponible,https://rxi.iscdn.net/2023/06/270689_unnamed-2023-06-21t223640517.png
VIN000326630,Husqvarna,FC 350,Motocross,2023,5000,94.525,Disponible,https://as.sobrenet.pt/s/image/tsr/brandm/product/1920x1280/moqwy0mayjecl3wwjllwbnq1r23.png
VIN000338721,Beta,RR 50 Racing,Motocross,2021,15000,83.725,Disponible,https://images5.1000ps.net/images_bikekat/2021/57-Beta/10641-RR_50_Enduro_Racing/001-637553795900363412-beta-rr-50-enduro-racing.jpg?format=webp&quality=80&trim.threshold=80&trim.percentpadding=1&scale=both&width=1168&height=664&bgcolor=rgba_39_42_44_0&mode=pad
VIN000343324,Lifan,KPS 200,Naked,2011,65000,32.725,Disponible,https://flux.somosmoto.pe/r/https://somosmoto.pe/images/models/thumbnails/colors/lifan-mig15-lf150-10fe-2022-rojo-0307c7.png?width=557
VIN000355660,KTM,SX 125,Motocross,2024,0,100,Disponible,https://masktm.es/wp-content/uploads/2024/06/PHO_BIKE_90_RE_MY24-KTM-50-SX-FE-90-right_SALL_AEPI_V1.png
VIN000365018,CF,650MT,Trail,2023,5000,94.525,Disponible,https://81220013a0.clvaw-cdnwnd.com/ee65ebaf3b84e0517368b9d95159cf03/200007213-34dd934dda/650mt-002.png?ph=81220013a0
VIN000377402,Aeon,Cobra Utility 125,Scooter,2022,10000,89.1,Disponible,https://images5.1000ps.net/images_bikekat/2021/2-Honda/8042-Forza_125/027-637382697676912603-honda-forza-125.jpg?format=webp&quality=80&trim.threshold=80&trim.percentpadding=1&scale=both&width=1168&height=664&bgcolor=rgba_39_42_44_0&mode=pad
VIN000382812,AJP,PR7 650,Trail,2022,10000,89.1,Disponible,https://overlandmag.com/om/wp-content/uploads/2020/05/AJP-PR7-Adventure-profile-Overland-Magazine-1024x735.png
VIN000397625,Honda,PCX 125,Scooter,2024,0,100,Disponible,https://www.honda.es/content/dam/central/motorcycles/colour-picker/scooter/pcx/pcx125_2023/pb-434m_matte_suit_blue_metallic/23YM_PCX_MAT_SUIT_BLUE_METALLIC_RHS.png/_jcr_content/renditions/c4.png
VIN000407019,Zontes,350M,Scooter,2023,5000,94.525,Disponible,https://zontesmotos.es/wp-content/uploads/2024/06/Scooters-350E-negromate.png
VIN000416721,Keeway,Vieste 125 E5,Scooter,2024,0,100,Disponible,https://motissimo.es/wp-content/uploads/2020/10/VIESTE_AZUL_LATERAL.png
VIN000427947,Honda,Forza 350,Scooter,2024,0,100,Disponible,https://motomecanicajlopez.es/cdn/shop/files/moto-honda-forza-350-moto-gray_1024x.png?v=1713275875
VIN000438119,Honda,SH 125i,Scooter,2022,10000,89.1,Disponible,https://www.honda.es/content/dam/central/motorcycles/colour-picker/scooter/sh125i/sh125i_topbox_2024/nh-a84p_pearl_nightstar_black/24YM_SH125_Pearl_Nighstar_Black_NHA84_RHS_ACC.png/jcr:content/renditions/m_r.png
VIN000441297,Honda,Vision 110,Scooter,2023,5000,94.525,Disponible,https://www.honda.es/content/dam/central/motorcycles/colour-picker/scooter/vision110/vision110_2023/nh-a76m_mat_galaxy_black_metallic/21_YM_VISION_110_%20MAT_GALAXY_BLACK_METALLIC_RHS.png/_jcr_content/renditions/c4.png
VIN000452643,Honda,ADV 350,Scooter,2024,0,100,Disponible,https://motollopis.es/wp-content/uploads/2023/03/Honda-ADV350-2023.webp
VIN000461839,Kymco,AK 550,Scooter,2023,5000,94.525,Disponible,https://www.kymco.es/storage/app/media/products/AK%20550%20Premium/Galeria/Estudio/AK%20galeria_estudi_%202400x1800_1.png
VIN000478693,Kymco,DTX 125i,Scooter,2024,0,100,Disponible,https://images5.1000ps.net/images_bikekat/2024/24-Kymco/12263-DT_X_125i_ABS/008-638374728768096992-kymco-dt-x-125i-abs.jpg?format=webp&quality=80&trim.threshold=80&trim.percentpadding=1&scale=both&width=1168&height=664&bgcolor=rgba_39_42_44_0&mode=pad
VIN000483803,Yamaha,MT 15,Naked,2024,0,100,Disponible,https://yamaha.vtexassets.com/arquivos/ids/179235/mt15_1-CYAN.png?v=638175178766230000
VIN000498292,Yamaha,MT 10,Naked,2023,5000,94.525,Disponible,https://motoriwata.com/wp-content/uploads/2024/02/MT-10.png
VIN000505039,Yamaha,Delight 125,Scooter,2022,10000,89.1,Disponible,https://www.wivai.com/on/demandware.static/-/Sites-promocaixa-m-catalog/default/dwff189f0e/movilidad/MotoYamahaLavaRed/121-4005605_600x600.png
VIN000516003,Yamaha,R7,Deportiva,2023,5000,94.525,Disponible,https://yamaha-mundoyamaha.com/wp-content/uploads/2023/05/r7_motos_header.png
VIN000523442,Yamaha,XTZ 150,Trail,2023,5000,94.525,Disponible,https://yamaha-mundoyamaha.com/wp-content/uploads/2022/06/XTZ150_color_azul.png
VIN000539694,BMW,R 1250 GS,Trail,2024,0,100,Disponible,https://content.media.mcdn.es/api/v1/mnet-media/images/be/be9b927f-7080-4699-828c-f0cf7a9034a4?rule=articleBodyImage
VIN000548050,Honda,CB 750 Hornet,Naked,2024,0,100,Disponible,https://www.honda.es/content/dam/central/motorcycles/colour-picker/street/cb750_hornet/cb750_hornet_2023/nh-b01_graphite_black/23YM_CB750_Hornet_Graphite_Black_NH-B01_RHS.png/_jcr_content/renditions/c4.png
VIN000552477,Yamaha,TMAX,Scooter,2024,0,100,Disponible,https://content.media.mcdn.es/api/v1/mnet-media/images/7e/7e29f883-7e20-4443-9b1c-35988a4b5370?rule=articleBodyImage
VIN000569654,Yamaha,T�n�r� 700,Trail,2022,10000,89.1,Disponible,https://images5.1000ps.net/images_bikekat/2024/4-Yamaha/9557-Tenere_700/002-638295148694375414-yamaha-tenere-700.jpg?format=webp&quality=80&width=1200&height=790&bgcolor=rgba_39_42_44_0&mode=pad
VIN000572892,Yamaha,XMAX 300,Scooter,2024,0,100,Disponible,https://images5.1000ps.net/images_bikekat/2023/4-Yamaha/2500-XMAX_125/002-638024769684376304-yamaha-xmax-125.jpg?format=webp&quality=80&trim.threshold=80&trim.percentpadding=1&scale=both&width=1168&height=664&bgcolor=rgba_39_42_44_0&mode=pad
VIN000587203,Honda,X-ADV 750,Trail,2024,0,100,Disponible,https://mpracing.es/199634-large_default/moto-honda-x-adv-2024.jpg
VIN000596097,Kawasaki,Z900,Naked,2023,5000,94.525,Disponible,https://storage.kawasaki.eu/public/kawasaki.eu/en-EU/model/23MY_Z900_SL1_STU__1__001.png
VIN000602837,Voge,525 DSX,Trail,2022,10000,89.1,Disponible,https://www.formulamoto.es/wp-content/uploads/2023/09/Voge_525_DSX.jpg.webp
VIN000617582,SYM,Symphony 125 E5,Scooter,2009,75000,23.125,Disponible,https://i0.wp.com/imtorello.com/wp-content/uploads/2021/03/med_moto-sym-symphony-125cc-azul-2021-E5.png?fit=800%2C900&ssl=1
VIN000628286,BMW,R nineT Scrambler,Retro,2022,10000,89.1,Disponible,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.1000ps.com%2Fes-es%2Fcomparativa%2F181085%2Fbmw-r-ninet-100-years-2023-vs-bmw-r-ninet-scrambler-2022&psig=AOvVaw1NaV3TYo2XyYNpdB1RyAvp&ust=1724697635625000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCMiR88HlkIgDFQAAAAAdAAAAABAI
VIN000637990,Honda,CL 500,Retro,2022,10000,89.1,Disponible,"https://res.cloudinary.com/dsgcv1vcv/image/upload/c_limit,w_3840/e_trim/f_auto/q_auto/v1/motorcycles/2e3e3694-9f84-43a4-9fd8-b3c29d35f94c/colors/46696a57-e856-4150-be38-e34f936dcf4a/foqudwwvdcozwsahof9r?_a=BAVAfVBy0"
VIN000644956,Piaggio,Guzzi V7 Special 850,Retro,2022,10000,89.1,Disponible,https://images.piaggio.com/motoguzzi/vehicles/gu3213700ebp00/gu3213700ebp03/gu3213700ebp03-01-s.png
VIN000656816,Aprilia,RSV 1000 Tuono R,Naked,2022,10000,89.1,Disponible,https://images5.1000ps.net/images_bikekat/2013/9-APRILIA/3849-RSV_1000_Tuono_R/gr.jpg?format=webp&quality=80&trim.threshold=80&trim.percentpadding=1&scale=both&width=556&height=416&bgcolor=rgba_39_42_44_0&mode=pad
VIN000665923,Aprilia,SL 750 Shiver Factory,Naked,2023,5000,94.525,Disponible,https://images5.1000ps.net/images_bikekat/2013/9-APRILIA/6348-SL_750_Shiver_Factory/gr.jpg?format=webp&quality=80&trim.threshold=80&trim.percentpadding=1&scale=both&width=556&height=416&bgcolor=rgba_39_42_44_0&mode=pad
VIN000675448,Aprilia,Tuono V4 1100 Factory,Naked,2024,0,100,Disponible,https://images5.1000ps.net/images_bikekat/2024/9-Aprilia/8008-Tuono_V4_1100_Factory/004-638404066650681208-aprilia-tuono-v4-1100-factory.jpg?format=webp&quality=80&trim.threshold=80&trim.percentpadding=1&scale=both&width=556&height=416&bgcolor=rgba_39_42_44_0&mode=pad
VIN000683364,Aprilia,SR GT Sport 200,Scooter,2023,5000,94.525,Disponible,https://images5.1000ps.net/images_bikekat/2024/9-Aprilia/11363-SR_GT_Sport_200/005-638404031470442168-aprilia-sr-gt-sport-200.jpg?format=webp&quality=80&trim.threshold=80&trim.percentpadding=1&scale=both&width=556&height=416&bgcolor=rgba_39_42_44_0&mode=pad
VIN000691934,Aprilia,SXR 50,Scooter,2024,0,100,Disponible,https://images5.1000ps.net/images_bikekat/2024/9-Aprilia/10625-SXR_50/005-638404062190908806-aprilia-sxr-50.jpg?format=webp&quality=80&trim.threshold=80&trim.percentpadding=1&scale=both&width=556&height=416&bgcolor=rgba_39_42_44_0&mode=pad
VIN000703405,BMW,R 18 100 Years,Custom,2018,30000,67.9,Disponible,https://images5.1000ps.net/images_bikekat/2024/7-BMW/11677-R_18_100_Years/001-638405653538995873-bmw-r-18-100-years.jpg?format=webp&quality=80&trim.threshold=80&trim.percentpadding=1&scale=both&width=556&height=416&bgcolor=rgba_39_42_44_0&mode=pad
VIN000713984,BMW,R 18 Roctane,Custom,2019,25000,73.125,Disponible,https://images5.1000ps.net/images_bikekat/2024/7-BMW/11918-R_18_Roctane/001-638405649760859641-bmw-r-18-roctane.jpg?format=webp&quality=80&trim.threshold=80&trim.percentpadding=1&scale=both&width=556&height=416&bgcolor=rgba_39_42_44_0&mode=pad
VIN000727998,BMW,F 750 GS,Trail,2024,5000,99.5,Disponible,https://images5.1000ps.net/images_bikekat/2023/7-BMW/9169-F_750_GS/010-637925215383481196-bmw-f-750-gs.jpg?format=webp&quality=80&trim.threshold=80&trim.percentpadding=1&scale=both&width=556&height=416&bgcolor=rgba_39_42_44_0&mode=pad
VIN000733601,BMW,R nineT Urban G/S,Trail,2023,5000,94.525,Disponible,https://images5.1000ps.net/images_bikekat/2023/7-BMW/8817-R_nineT_Urban_G_S/013-637925194688405125-bmw-r-ninet-urban-g-s.jpg?format=webp&quality=80&trim.threshold=80&trim.percentpadding=1&scale=both&width=556&height=416&bgcolor=rgba_39_42_44_0&mode=pad
VIN000741443,BMW,C 400 X,Scooter,2024,0,100,Disponible,https://images5.1000ps.net/images_bikekat/2024/7-BMW/9207-C_400_X/014-638239883609428761-bmw-c-400-x.jpg?format=webp&quality=80&trim.threshold=80&trim.percentpadding=1&scale=both&width=556&height=416&bgcolor=rgba_39_42_44_0&mode=pad
VIN000752246,BMW,R 1250 RT,Turismo,2023,5000,94.525,Disponible,https://images5.1000ps.net/images_bikekat/2024/7-BMW/9501-R_1250_RT/015-638239851384131343-bmw-r-1250-rt.jpg?format=webp&quality=80&trim.threshold=80&trim.percentpadding=1&scale=both&width=556&height=416&bgcolor=rgba_39_42_44_0&mode=pad
VIN000769763,BMW,R 18 Transcontinental,Turismo,2024,0,100,Disponible,https://images5.1000ps.net/images_bikekat/2024/7-BMW/10764-R_18_Transcontinental/027-638239868726012583-bmw-r-18-transcontinental.jpg?format=webp&quality=80&trim.threshold=80&trim.percentpadding=1&scale=both&width=556&height=416&bgcolor=rgba_39_42_44_0&mode=pad
VIN000775622,Suzuki,GSX-8S 776,Deportiva,2024,0,100,Disponible,https://moto.suzuki.es/storage/images/uwyd8ttfdivbrgcvztq0ngx6wkqmdahhsy09lvpn.png
VIN000785605,Suzuki,Burgman Street 125,Scooter,2023,5000,94.525,Disponible,https://moto.suzuki.es/storage/images/ligbcar7j29kqqhgsijpft7pudcluyhrqf32o1wj.png
VIN000796797,Suzuki,Address 125,Scooter,2024,0,100,Disponible,https://moto.suzuki.es/storage/images/1xsboculrpboxijwkxz18azyrrfvlsrg6er3zqyz.jpg
VIN000808937,Suzuki,Avenis 125,Scooter,2023,5000,94.525,Disponible,https://moto.suzuki.es/storage/images/cjzcbimsu13wng0curhlfdh7yzekxk4mzypdxqvz.png
VIN000814378,Benda,Napoleon 500,Custom,2022,10000,89.1,Disponible,https://motissimo.es/wp-content/uploads/2024/06/image_edited.webp
VIN000828185,Benelli,TRK 702,Naked,2023,5000,94.525,Disponible,https://motissimo.es/wp-content/uploads/2023/08/trk-702-white-1.jpg
VIN000833605,Mitt,Legrand 125,Scooter,2024,0,100,Disponible,https://motissimo.es/wp-content/uploads/2023/08/mitt2023_estudio_23-01-24_0346-scaled-1.jpg
VIN000841821,Rieju,Legend 500,Trail,2022,10000,89.1,Disponible,https://motissimo.es/wp-content/uploads/2023/01/RIEJU-AVENTURA-500-2023-1-1024x664.jpg
VIN000853344,Benelli,Leoncino 125,Custom,2022,10000,89.1,Disponible,https://motissimo.es/wp-content/uploads/2022/03/01-2.jpg
VIN000866983,Fantic,Caballero 500 Anniversary,Custom,2022,10000,89.1,Disponible,https://motissimo.es/wp-content/uploads/2023/07/284287fa8afa4fa6b1dadd3f1e241420-1.jpg
VIN000875379,Keeway,V-Cruise 125,Custom,2023,5000,94.525,Disponible,https://motissimo.es/wp-content/uploads/2022/07/Imagen1-500x300-1-1024x614.jpg
VIN000886125,Rieju,Century 125,Custom,2017,35000,62.725,Disponible,https://motissimo.es/wp-content/uploads/2019/05/Copia-de-CENTU_01252_-1024x751.jpg
VIN000892712,Fantic,XEF 250 Trail,Motocross,2008,80000,18.4,Disponible,https://motissimo.es/wp-content/uploads/2023/06/d6b6e1e27dd74c3c849af9b4d1ea2132-1.jpg
VIN000902368,Keeway,Vieste 300 XDV,Scooter,2023,5000,94.525,Disponible,"https://astarastore.imgix.net/hero_asset/file/116720/beige.png?&auto=compress,format&fit=crop&max-h=698&max-w=1240&min-h=698&min-w=1240"
VIN000917331,Keeway,Zahara 125 euro 5,Scooter,2024,0,100,Disponible,"https://astarastore.imgix.net/hero_asset/file/78557/negro.png?&auto=compress,format&fit=crop&max-h=698&max-w=1240&min-h=698&min-w=1240"
VIN000927076,Kymco,Xciting,Scooter,2023,5000,94.525,Disponible,"https://astarastore.imgix.net/hero_asset/file/148720/negro.png?&auto=compress,format&fit=crop&max-h=698&max-w=1240&min-h=698&min-w=1240"
VIN000932528,Honda,Forza 750,Scooter,2024,0,100,Disponible,"https://astarastore.imgix.net/hero_asset/file/649793/azul.png?&auto=compress,format&fit=crop&max-h=698&max-w=1240&min-h=698&min-w=1240"
VIN000943183,Honda,ADV 350,Scooter,2022,10000,89.1,Disponible,https://www.hondacanarias.com/motorcycles/upload/681-c4_(79).png
VIN000957477,Ecooter,E5 Pro 125,El�ctrica,2024,0,100,Disponible,"https://astarastore.imgix.net/hero_asset/file/112748/gris.png?&auto=compress,format&fit=crop&max-h=698&max-w=1240&min-h=698&min-w=1240"
VIN000961109,Ecooter,Model96,El�ctrica,2024,0,100,Disponible,"https://astarastore.imgix.net/hero_asset/file/78507/trive_silence_s01_color-white.png?&auto=compress,format&fit=crop&max-h=698&max-w=1240&min-h=698&min-w=1240"
VIN000976668,Silence,S 01,El�ctrica,2024,0,100,Disponible,"https://astarastore.imgix.net/hero_asset/file/78509/green.png?&auto=compress,format&fit=crop&max-h=698&max-w=1240&min-h=698&min-w=1240"
VIN000988416,Super Soco,CPX Pro 125,El�ctrica,2024,0,100,Disponible,"https://astarastore.imgix.net/hero_asset/file/112862/azul.png?&auto=compress,format&fit=crop&max-h=698&max-w=1240&min-h=698&min-w=1240"
VIN000995643,Super Soco,TSX 125,El�ctrica,2024,0,100,Disponible,"https://astarastore.imgix.net/hero_asset/file/106151/gris__3_.png?&auto=compress,format&fit=crop&max-h=698&max-w=1240&min-h=698&min-w=1240"
